2016-04-04 01:39:14,433 - server >> Frame(fin=True, opcode=1, data=b'lkjasdflkjals')
2016-04-04 01:39:16,402 - server << Frame(fin=True, opcode=1, data=b'dkfjljasldfjlsajdflkj')
2016-04-04 01:39:16,402 - server >> Frame(fin=True, opcode=1, data=b'dkfjljasldfjlsajdflkj')
2016-04-04 01:39:16,686 - server << Frame(fin=True, opcode=1, data=b'alskjf')
2016-04-04 01:39:16,687 - server >> Frame(fin=True, opcode=1, data=b'alskjf')
2016-04-04 01:39:17,367 - server << Frame(fin=True, opcode=1, data=b'lkasjflkasjdfl')
2016-04-04 01:39:17,367 - server >> Frame(fin=True, opcode=1, data=b'lkasjflkasjdfl')
2016-04-04 01:39:17,603 - server << Frame(fin=True, opcode=1, data=b'ksjd')
2016-04-04 01:39:17,604 - server >> Frame(fin=True, opcode=1, data=b'ksjd')
2016-04-04 01:40:01,436 - Using selector: EpollSelector
2016-04-04 01:40:02,898 - ::1:58522 created channel #/
2016-04-04 01:40:04,339 - server << Frame(fin=True, opcode=1, data=b'tealskjd')
2016-04-04 01:40:04,340 - server >> Frame(fin=True, opcode=1, data=b'tealskjd')
2016-04-04 01:40:04,796 - server << Frame(fin=True, opcode=1, data=b'asldkfja')
2016-04-04 01:40:04,797 - server >> Frame(fin=True, opcode=1, data=b'asldkfja')
2016-04-04 01:40:05,081 - server << Frame(fin=True, opcode=1, data=b'dksfjal')
2016-04-04 01:40:05,081 - server >> Frame(fin=True, opcode=1, data=b'dksfjal')
2016-04-04 01:40:05,254 - server << Frame(fin=True, opcode=1, data=b'skjdf')
2016-04-04 01:40:05,254 - server >> Frame(fin=True, opcode=1, data=b'skjdf')
2016-04-04 01:42:32,337 - Using selector: EpollSelector
2016-04-04 01:43:06,845 - ::1:58540 created channel #root
2016-04-04 01:43:08,000 - server << Frame(fin=True, opcode=1, data=b'asldkjfa')
2016-04-04 01:43:08,001 - server >> Frame(fin=True, opcode=1, data=b'asldkjfa')
2016-04-04 01:54:09,487 - Failing the WebSocket connection: 1006 
2016-04-04 01:54:09,487 - ('::1', 58540, 0, 0) disconneced from #root
