2016-04-04 13:08:20,271 - server >> Frame(fin=True, opcode=1, data=b'slkdjfal')
2016-04-04 13:08:20,430 - server << Frame(fin=True, opcode=1, data=b'ksdjf')
2016-04-04 13:08:20,431 - server >> Frame(fin=True, opcode=1, data=b'ksdjf')
2016-04-04 13:08:20,664 - server << Frame(fin=True, opcode=1, data=b'laksdjfl')
2016-04-04 13:08:20,665 - server >> Frame(fin=True, opcode=1, data=b'laksdjfl')
2016-04-04 13:08:20,845 - server << Frame(fin=True, opcode=1, data=b'aksjdf')
2016-04-04 13:08:20,845 - server >> Frame(fin=True, opcode=1, data=b'aksjdf')
2016-04-04 13:08:21,026 - server << Frame(fin=True, opcode=1, data=b'lkajsd')
2016-04-04 13:08:21,026 - server >> Frame(fin=True, opcode=1, data=b'lkajsd')
2016-04-04 13:08:21,255 - server << Frame(fin=True, opcode=1, data=b'lfkjasdl')
2016-04-04 13:08:21,255 - server >> Frame(fin=True, opcode=1, data=b'lfkjasdl')
2016-04-04 13:13:55,538 - server << Frame(fin=True, opcode=8, data=b'\x03\xe9')
2016-04-04 13:13:55,538 - server >> Frame(fin=True, opcode=8, data=b'\x03\xe9')
2016-04-04 13:13:55,539 - ('::1', 50732, 0, 0) disconneced from #root
